	PD_whole_tree	chao1	observed_otus
10317.000030760	33.81793	712.8125	486.0
10317.000030732	32.80305	682.82	422.0
10317.000023384	32.22474	644.631578947	442.0
10317.000026137	23.16634	394.245283019	310.0
10317.000030734	24.57098	515.5	316.0
10317.000017085	25.69346	497.458333333	336.0
10317.000026131	30.49318	706.015384615	447.0
10317.000036391	31.40875	562.428571429	399.0
10317.000036087	26.12083	555.508474576	361.0
10317.000017072	28.67595	596.684210526	390.0
10317.000030735	35.98472	735.029850746	481.0
10317.000017083	27.18371	543.153846154	364.0
10317.000036383	30.74621	650.283783784	435.0
10317.000030765	35.37135	675.631578947	473.0
10317.000017394	32.86166	673.784313725	402.0
10317.000017091	31.80957	743.080645161	438.0
10317.000030733	31.54647	720.909090909	428.0
10317.000036427	37.49503	736.577464789	489.0
10317.000017106	39.92608	791.101265823	529.0
10317.000036069	21.61421	498.243243243	282.0
10317.000030759	26.45813	483.818181818	329.0
10317.000017113	34.12098	683.951612903	471.0
10317.000026129	25.3931	418.115384615	307.0
10317.000030772	28.254	623.170212766	379.0
10317.000017092	25.39429	493.0	319.0
10317.000017120	22.96234	523.875	311.0
10317.000036414	32.30011	580.552238806	407.0
10317.000036912	27.31526	619.214285714	414.0
10317.000017362	30.19886	790.456521739	396.0
10317.000026095	23.95618	531.636363636	323.0
10317.000026134	18.85272	388.588235294	243.0
10317.000026100	38.35391	627.135135135	470.0
10317.000017095	33.65234	714.369863014	471.0
10317.000017358	26.67885	711.269230769	340.0
10317.000036402	32.01626	680.123287671	452.0
10317.000017077	24.45088	487.272727273	325.0
10317.000026116	27.99004	620.113207547	371.0
10317.000030753	22.30479	428.236842105	279.0
10317.000017107	32.36422	589.878787879	416.0
10317.000030748	28.13297	596.5	404.0
10317.000030754	33.84635	621.327868852	418.0
10317.000036093	28.74837	571.971014493	399.0
10317.000036077	22.11967	345.371428571	236.0
10317.000030775	26.64408	487.5	315.0
10317.000026099	27.67632	603.438356164	427.0
10317.000036422	34.35903	749.875	479.0
10317.000036939	30.0712	579.904761905	388.0
10317.000023390	30.67695	574.714285714	409.0
10317.000030749	27.6709	493.170212766	312.0
10317.000017115	30.40955	471.471698113	339.0
10317.000036392	30.12507	587.716666667	381.0
10317.000036413	26.78294	410.591836735	286.0
10317.000026112	28.15559	622.88372093	363.0
10317.000036098	28.1074	524.982758621	362.0
10317.000036420	23.40879	394.368421053	293.0
10317.000030763	21.13735	541.317073171	276.0
10317.000030756	26.15323	503.448979592	327.0
10317.000036398	31.16984	635.109375	408.0
10317.000036943	27.27221	536.081967213	390.0
10317.000036394	28.31065	591.131147541	403.0
10317.000036112	20.43131	397.037037037	221.0
10317.000036099	31.88722	760.966666667	468.0
10317.000026136	32.29552	629.568965517	413.0
10317.000036927	27.50065	564.080645161	391.0
10317.000036107	29.86511	732.769230769	409.0
10317.000030736	28.8029	684.567164179	425.0
10317.000036428	27.6506	491.088235294	362.0
10317.000023389	19.27175	478.666666667	277.0
10317.000030750	19.34756	418.0	259.0
10317.000026119	39.30388	828.764044944	563.0
10317.000036080	29.5339	630.142857143	403.0
10317.000017081	16.73946	341.576923077	201.0
10317.000017119	19.09444	423.941176471	254.0
10317.000036075	28.95797	600.444444444	396.0
10317.000026133	26.73686	541.557692308	338.0
10317.000026120	29.65994	609.943661972	410.0
10317.000030744	24.46297	570.0	338.0
10317.000017079	23.19306	397.192307692	284.0
10317.000036097	22.39076	506.135135135	283.0
10317.000036947	25.31171	481.166666667	333.0
10317.000036926	29.42769	623.8	390.0
10317.000030743	27.15228	549.3	368.0
10317.000026127	26.90071	580.281690141	410.0
10317.000017111	20.83956	329.25862069	272.0
10317.000017088	27.80185	711.636363636	389.0
10317.000026122	20.36062	470.073170732	293.0
10317.000036082	26.19874	569.553571429	370.0
10317.000017114	20.59037	384.947368421	244.0
10317.000036078	25.6762	550.071428571	325.0
10317.000026114	25.30703	582.611111111	350.0
10317.000030739	22.97328	594.4375	349.0
10317.000030746	29.64718	650.015873016	430.0
10317.000036423	22.09472	472.024390244	292.0
10317.000026141	30.07828	544.75	388.0
10317.000036081	28.45063	554.625	349.0
10317.000036083	29.00172	547.5	357.0
10317.000036941	32.22954	629.716666667	423.0
10317.000023386	35.41974	598.012658228	443.0
10317.000036072	29.79696	603.373134328	394.0
10317.000036106	20.31488	423.9375	240.0
10317.000026107	38.09885	687.518987342	497.0
10317.000030757	30.54881	639.721311475	407.0
10317.000017117	12.22415	250.166666667	131.0
10317.000017075	26.03839	538.807692308	349.0
10317.000017116	25.20877	597.058823529	375.0
10317.000036110	28.60646	685.566037736	395.0
10317.000026140	23.55825	481.875	339.0
10317.000036429	36.55941	808.539473684	528.0
10317.000036068	26.86243	494.0	369.0
10317.000017071	25.61178	434.255319149	302.0
10317.000036108	27.23288	644.564516129	399.0
10317.000036100	19.49543	384.02173913	244.0
10317.000030771	17.74077	364.166666667	201.0
10317.000017093	24.45143	531.0	327.0
10317.000030774	32.64052	633.258064516	407.0
10317.000036932	25.06582	544.25862069	349.0
10317.000017080	30.91607	672.630769231	433.0
10317.000023387	20.19331	410.418604651	271.0
10317.000036076	24.37267	528.0	319.0
10317.000036395	22.54549	472.466666667	303.0
10317.000026110	25.26876	561.722222222	352.0
10317.000026104	27.76284	573.671875	406.0
10317.000030751	25.49442	435.017241379	316.0
10317.000030747	33.67623	712.444444444	451.0
10317.000036406	15.77758	296.75	178.0
10317.000036418	25.86397	644.538461538	358.0
10317.000023381	21.58755	591.0	327.0
10317.000036425	17.44397	331.666666667	200.0
10317.000036104	33.40905	771.163934426	483.0
10317.000026111	23.68316	348.3125	263.0
10317.000036928	30.82933	566.305084746	413.0
10317.000017104	23.07744	534.357142857	319.0
10317.000017109	29.89208	585.438596491	392.0
10317.000030745	29.6658	690.820895522	420.0
10317.000023388	24.93025	527.645833333	342.0
10317.000026101	17.05998	335.11627907	220.0
10317.000036399	18.81359	349.625	238.0
10317.000017074	24.8859	585.666666667	354.0
10317.000030740	23.40848	412.0	256.0
10317.000023391	23.3776	493.775510204	320.0
10317.000017098	30.38845	577.128205128	430.0
10317.000036070	27.15745	538.211267606	385.0
10317.000036934	17.52607	382.724137931	232.0
10317.000036113	27.86895	594.775862069	389.0
10317.000023382	28.91648	607.875	406.0
10317.000036101	25.64551	481.234375	364.0
10317.000017089	25.04948	478.3	364.0
10317.000036111	34.61052	788.8	493.0
10317.000026128	37.03156	752.04	505.0
10317.000036925	28.20929	614.048387097	414.0
10317.000036417	24.93765	641.090909091	352.0
10317.000036103	33.68407	739.015384615	451.0
10317.000017086	25.74607	479.62	332.0
10317.000023380	24.5363	507.642857143	308.0
10317.000017101	34.25008	763.741935484	468.0
10317.000036085	25.0663	511.442622951	345.0
10317.000030742	32.10255	611.397058824	410.0
10317.000026094	34.31993	785.391891892	486.0
10317.000036084	26.36775	543.642857143	384.0
10317.000026106	28.42821	660.018181818	408.0
10317.000017395	25.00136	550.8125	351.0
10317.000026138	23.92592	522.875	296.0
10317.000023385	26.66004	484.810344828	338.0
10317.000017094	30.67195	623.568965517	407.0
10317.000026135	31.65385	590.524590164	417.0
10317.000036412	27.31869	580.020408163	355.0
10317.000026130	23.26296	503.348837209	326.0
10317.000026132	26.87987	597.596774194	395.0
10317.000017076	26.27963	518.055555556	343.0
10317.000017393	27.33295	499.857142857	327.0
10317.000023383	25.8993	391.204081633	302.0
10317.000026098	28.94421	708.069767442	374.0
10317.000030738	32.10888	528.238095238	376.0
10317.000017090	31.24851	643.580645161	428.0
10317.000036430	28.12251	533.734693878	338.0
10317.000017073	26.538	570.871794872	332.0
10317.000026096	32.49002	739.614285714	461.0
10317.000036071	22.25851	552.108108108	304.0
10317.000036919	28.32101	584.444444444	395.0
10317.000017108	17.85858	392.045454545	210.0
10317.000036105	27.08753	548.549019608	341.0
10317.000026123	24.49794	407.108108108	276.0
10317.000017082	25.73385	524.773584906	349.0
10317.000026102	22.04487	457.4	302.0
10317.000017096	15.51432	303.730769231	176.0
10317.000026108	24.26709	413.666666667	288.0
10317.000017112	15.90145	389.714285714	186.0
10317.000036920	21.41774	367.456521739	262.0
10317.000036400	25.58901	633.323529412	322.0
10317.000030764	29.20671	540.147540984	369.0
10317.000030741	26.4414	605.555555556	370.0
10317.000036102	31.80567	620.578947368	436.0
10317.000026103	18.1814	293.068181818	230.0
10317.000026109	27.45594	598.528301887	382.0
10317.000026113	24.42997	523.303571429	342.0
10317.000017360	27.83314	628.0	343.0
10317.000026139	27.39511	686.71875	435.0
10317.000026125	23.44761	521.12244898	331.0
10317.000036109	18.51362	463.757575758	251.0
10317.000017110	26.43515	542.788461538	361.0
10317.000017103	22.67722	414.976744186	273.0
10317.000026105	16.61816	395.4	213.0
10317.000017099	26.0267	557.022222222	359.0
10317.000023392	22.57064	501.0	286.0
10317.000036416	21.37509	434.0	264.0
10317.000026126	26.1103	652.486486486	313.0
10317.000026143	12.73966	183.75	140.0
10317.000017118	24.776	526.75862069	359.0
10317.000036933	18.64644	374.170731707	251.0
10317.000026142	22.50194	473.285714286	286.0
10317.000017097	24.47803	494.909090909	328.0
10317.000017105	15.59511	239.791666667	161.0
10317.000023378	23.00096	399.583333333	288.0
10317.000030779	30.68218	691.875	410.0
10317.000023379	18.24693	354.625	243.0
